1,7.33333333333
2,24.0
3,48.0
4,66.0
5,83.3333333333
6,86.6666666667
7,91.3333333333
8,94.6666666667
9,96.6666666667
10,98.0
11,98.0
12,99.3333333333
13,98.6666666667
14,98.0
15,100.0
16,99.3333333333
17,98.6666666667
18,99.3333333333
19,100.0
20,100.0
21,100.0
22,100.0
23,99.3333333333
24,99.3333333333
25,99.3333333333
26,99.3333333333
27,100.0
28,100.0
29,100.0
30,100.0
31,100.0
32,100.0
33,100.0
34,100.0
35,100.0
36,100.0
37,100.0
38,100.0
39,100.0
40,100.0
41,100.0
42,100.0
43,100.0
44,100.0
45,100.0
46,100.0
47,100.0
48,100.0
49,100.0
50,100.0
51,100.0
52,100.0
53,100.0
54,100.0
55,100.0
56,100.0
57,100.0
58,100.0
59,100.0
60,100.0
61,99.3333333333
62,99.3333333333
63,100.0
64,100.0
65,99.3333333333
66,99.3333333333
67,99.3333333333
68,100.0
69,99.3333333333
70,99.3333333333
71,99.3333333333
72,99.3333333333
73,99.3333333333
74,99.3333333333
75,99.3333333333
76,99.3333333333
