15.0215,12.4336,6.4224,3.8914,5.8308,2.183,7.226,2.8094,14.8886,4.2901,14.4932,10.51,10_10
16.7941,12.6742,5.8879,3.3237,5.021,1.9225,6.9618,2.4149,14.9319,3.7323,15.2488,11.087,10_11
13.9671,12.3133,6.956,4.5054,6.099,2.2853,6.9811,2.8365,15.1047,4.8612,14.5735,9.5169,10_110
15.9793,11.9935,5.8164,3.4005,5.2423,1.9471,7.231,2.7099,15.1804,3.9414,15.6686,10.8895,10_111
16.5414,12.2626,5.5022,2.9859,4.8546,1.915,7.3733,3.0252,15.5654,4.1238,15.0172,10.8333,10_112
14.0727,11.2873,6.2238,3.7877,5.6619,2.1414,7.5846,2.8674,15.2725,4.8053,15.962,10.3335,10_113
14.5215,11.2107,5.8354,3.4107,5.4483,2.1448,8.0483,3.1015,15.6852,4.5378,15.9359,10.12,10_114
14.7945,11.2083,5.6273,3.2008,5.117,2.0625,7.6506,3.051,16.5144,4.2642,15.9256,10.5838,10_115
15.3752,11.9374,6.0126,3.6597,5.3616,2.1432,7.2073,2.8576,15.2753,4.4619,15.051,10.6573,10_116
12.7061,11.1848,6.8103,4.0667,6.3752,2.8088,8.5062,3.6967,15.2425,5.0374,14.0705,9.4948,10_117
15.1167,11.6522,5.7753,3.4377,5.56,2.2778,8.2653,3.5214,15.1317,4.2776,14.4143,10.5701,10_118
15.4844,11.6899,5.745,3.1656,4.9376,2.177,7.4318,3.0857,15.8069,4.1143,15.6576,10.704,10_119
15.6897,12.1402,6.0272,3.4255,5.178,2.0006,6.9145,2.7894,15.2985,3.9852,15.766,10.7853,10_12
13.6951,11.6615,6.5729,4.096,6.4058,2.4608,7.9735,3.4695,14.3183,5.0565,14.0741,10.2159,10_120
14.452,12.1957,6.7949,4.2038,5.6834,2.2349,6.954,2.7835,15.2761,4.37,15.3901,9.6616,10_121
16.233,12.2583,6.0087,3.4589,5.0678,2.1703,7.0586,2.9475,14.5081,4.0088,15.2194,11.0606,10_122
17.5575,12.7166,5.4148,2.9833,4.6276,1.9717,6.7905,2.3506,15.2584,3.2371,15.5122,11.5799,10_13
16.6443,12.6266,6.081,3.662,5.131,1.8373,6.4577,2.3353,14.4053,3.888,15.5981,11.3334,10_14
17.0746,12.5943,5.789,3.1663,4.7263,1.7484,6.7096,2.2757,15.3098,3.4395,16.031,11.1354,10_15
16.1609,12.5302,6.1207,3.4186,5.1298,2.106,7.1079,2.7861,15.1664,3.7843,14.808,10.8812,10_16
14.6317,11.8503,6.0294,3.4682,5.4529,2.1933,8.0228,3.2335,16.3644,4.2794,14.4,10.0742,10_17
13.264,12.8528,7.6663,4.5055,6.223,2.2913,6.9425,2.8609,15.3711,4.8653,14.2875,8.8698,10_18
14.6393,13.0305,6.8891,4.3211,5.6257,1.9956,6.8169,2.867,14.8971,4.7182,14.366,9.8334,10_19
15.452,12.1749,5.9171,3.3812,5.2643,2.0391,7.5921,2.7414,15.1191,4.2811,15.3948,10.6429,10_20
14.5831,11.8881,6.238,3.5228,5.65,2.1172,7.4266,2.7102,16.5237,4.2268,15.4461,9.6674,10_21
15.325,12.0415,6.11,3.4318,5.296,1.8914,7.1844,2.8326,15.5944,4.3245,15.1767,10.7917,10_210
15.457,12.1965,6.058,3.341,5.1423,1.9774,6.9561,2.7145,16.1916,3.8592,15.5853,10.521,10_211
14.8014,11.1991,5.8177,3.1807,5.0854,2.171,7.005,3.0402,16.1439,4.3161,16.7357,10.5037,10_212
14.386,11.0755,5.9234,3.2238,5.3081,2.0756,7.7043,3.1545,16.7042,4.3028,15.8159,10.3259,10_213
15.3965,12.5048,6.2235,3.5795,5.3541,1.8874,7.0076,2.6688,15.7404,4.226,15.369,10.0424,10_214
