20,20,20,20,19,19,19,19,19,19,18,18,18,18,17,17,17,16,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,14,14,13,13,13,13,13,13,13,13,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,8,8,8,8,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,2,2,2,1,1,1,1,0,0,1,1,1,2,2,3,0.tiff
14,12,10,9,7,6,5,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,3,2,3,3,3,3,3,4,4,5,5,5,6,6,6,6,6,6,7,7,8,9,11,13,15,17,19,21,22,23,22,21,19,15,11,6,1,-4,-9,-14,-19,-22,1.tiff
19,20,20,21,21,21,22,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,24,24,24,24,24,24,23,23,23,22,22,21,20,20,19,18,17,16,15,14,13,12,11,10,9,8,7,7,6,6,5,5,4,4,4,4,4,3,3,4,4,4,4,4,4,4,5,5,5,6,6,6,7,7,8,9,9,10,11,12,13,13,14,15,16,17,18,19,19,20,21,21,22,22,22,22,10.tiff
-1,0,2,4,6,7,8,9,9,9,9,8,7,6,5,4,3,3,3,3,3,4,5,7,8,9,11,12,13,14,15,15,16,16,16,16,16,16,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,100.tiff
13,13,13,13,13,14,14,14,14,14,15,15,15,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,13,13,12,12,12,12,12,11,11,10,10,10,9,9,8,7,7,6,6,6,5,5,5,5,5,5,5,6,6,7,7,8,9,10,10,11,12,13,13,14,14,15,15,16,16,16,16,1000.tiff
-1,0,2,3,5,6,7,8,9,10,10,10,10,9,9,8,7,6,6,5,4,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,10,10,10,9,9,9,9,8,8,7,7,6,6,5,5,4,4,3,3,3,2,2,1,1,1,1,1001.tiff
0,0,0,0,1,1,2,3,3,4,4,5,5,6,6,6,6,7,7,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,9,9,9,9,9,9,10,10,10,10,10,10,11,11,10,10,10,10,10,10,10,9,9,9,9,9,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,7,7,7,6,6,6,6,6,6,6,6,6,1002.tiff
17,17,17,17,18,19,20,21,22,22,23,23,24,24,24,25,25,26,26,26,26,27,27,27,27,27,27,27,28,28,28,28,29,29,29,29,29,29,28,28,28,28,28,29,29,29,29,28,28,28,28,28,28,28,28,28,27,27,27,27,26,26,26,26,26,26,26,26,25,25,25,25,24,24,24,24,24,23,23,23,22,22,21,21,20,20,19,18,18,17,16,15,13,10,8,5,2,0,0,-1,1003.tiff
20,23,25,28,30,32,34,35,36,36,37,36,36,35,33,32,30,28,26,24,23,21,19,18,16,15,14,13,12,12,11,10,10,9,9,8,8,8,7,7,7,6,6,7,7,8,8,9,11,12,14,15,17,19,20,22,23,25,26,26,27,27,27,27,27,26,25,25,24,23,23,22,22,22,22,22,22,23,23,24,25,26,27,28,29,29,30,30,30,30,30,30,29,28,27,26,25,24,23,22,1004.tiff
14,13,12,11,10,9,8,7,7,6,5,5,4,4,4,4,3,3,3,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,11,11,11,12,12,12,13,13,14,14,15,15,16,16,16,16,1005.tiff
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1006.tiff
3,3,3,4,4,5,5,6,7,8,9,9,10,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,15,15,15,15,15,15,14,14,14,14,14,14,15,15,15,15,15,15,14,14,14,14,14,14,13,13,13,13,13,12,12,11,10,10,9,8,7,6,5,4,4,4,4,5,7,8,10,13,15,18,20,23,25,27,1007.tiff
10,10,10,10,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,1008.tiff
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1009.tiff
2,2,3,4,4,5,5,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,10,10,10,10,11,11,11,11,12,12,12,12,11,11,11,12,12,12,12,12,13,13,13,13,13,12,12,12,12,12,12,12,13,13,13,13,12,12,12,12,12,11,11,11,12,12,12,11,11,11,11,11,10,10,10,10,10,10,10,10,9,9,9,8,8,8,7,7,7,6,5,4,2,1,0,-1,-2,-2,101.tiff
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,1010.tiff
28,24,21,18,15,13,11,10,9,8,9,9,10,11,13,15,16,18,19,21,21,22,22,22,21,20,19,17,15,13,11,9,7,6,4,3,2,2,2,3,3,4,6,7,9,11,13,15,16,18,20,21,22,23,24,25,25,25,25,25,25,25,25,25,24,24,24,24,24,24,24,24,24,24,23,23,23,23,23,23,23,23,23,22,22,22,22,22,23,23,23,23,24,24,25,26,26,27,27,28,1011.tiff
0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,4,5,7,9,12,14,17,19,21,23,24,24,25,24,23,22,20,18,16,14,12,10,8,7,6,6,6,6,6,6,7,7,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,12,12,12,13,14,15,15,16,18,19,20,21,22,23,24,25,25,26,26,26,1012.tiff
33,32,31,30,30,29,28,27,26,25,25,24,23,23,22,22,21,21,21,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,21,21,21,21,22,22,22,23,23,24,24,24,25,25,25,25,25,25,25,25,24,24,23,22,21,20,19,18,17,16,14,13,12,10,9,8,7,7,6,6,5,5,6,6,7,8,9,10,12,13,15,17,19,21,24,26,28,30,32,35,37,1013.tiff
12,12,13,13,14,14,14,15,16,16,17,17,18,18,18,19,19,19,20,20,20,20,20,20,20,20,20,20,19,19,19,19,18,18,18,18,17,17,17,17,16,16,16,16,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,1014.tiff
3,4,5,7,8,9,10,10,10,9,9,8,6,5,4,3,3,3,3,4,6,7,9,11,13,15,16,17,18,19,19,19,18,18,18,18,17,17,17,17,17,17,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,18,17,17,17,17,17,17,16,16,16,16,16,15,15,15,15,15,15,15,15,15,15,15,14,14,14,14,14,14,14,13,13,12,12,11,11,10,10,9,1015.tiff
7,7,7,7,8,8,9,9,10,10,11,11,12,12,12,13,13,13,14,14,14,15,15,15,15,15,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,18,18,18,18,18,17,17,17,17,17,16,16,16,16,17,16,16,16,16,15,15,15,15,15,14,14,14,13,12,10,9,7,5,4,3,4,5,8,11,16,20,26,30,35,38,1016.tiff
6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,8,8,8,8,7,7,6,5,5,4,3,2,2,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,3,5,7,8,10,11,13,13,14,14,13,12,11,10,9,8,7,6,6,6,6,6,7,8,9,10,12,1017.tiff
8,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,16,16,16,16,16,17,17,17,17,17,17,17,17,18,18,17,17,17,17,17,17,17,17,16,16,16,16,16,15,1018.tiff
13,13,13,13,14,14,14,14,15,15,15,15,15,16,16,16,16,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,20,20,20,19,19,19,18,18,17,16,16,15,15,14,14,13,13,13,13,13,14,14,14,14,15,15,15,15,15,15,15,15,14,14,13,12,11,10,9,8,7,6,5,4,4,4,4,4,5,6,7,9,11,13,15,17,18,20,21,22,23,24,1019.tiff
47,47,47,48,48,48,48,47,47,47,47,48,48,48,48,48,47,47,47,47,48,48,48,47,47,47,47,46,46,47,47,47,47,46,46,46,47,48,49,50,52,53,55,56,57,57,58,58,59,60,61,63,63,60,56,48,39,29,20,14,11,12,14,17,19,20,21,21,22,22,23,24,25,26,26,27,28,29,30,31,32,32,33,34,35,36,37,38,39,41,44,47,50,51,51,49,46,41,36,31,102.tiff
0,0,0,1,1,2,2,3,3,3,4,4,5,5,5,5,5,5,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,8,8,8,8,9,9,9,9,9,10,10,10,10,10,9,10,10,10,10,10,9,9,9,9,9,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,6,6,6,6,6,5,5,4,4,4,4,3,3,3,3,3,3,1020.tiff
19,19,20,20,20,20,20,20,21,21,21,21,21,22,22,22,22,22,22,22,22,23,23,23,23,23,22,22,22,22,22,22,21,21,21,20,20,19,19,18,18,17,16,16,15,14,14,13,12,12,11,10,10,9,8,8,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8,8,9,10,10,11,12,12,13,13,14,15,15,15,16,16,17,17,17,17,17,18,18,18,18,1021.tiff
2,4,5,6,8,9,11,12,13,15,15,16,17,17,17,16,15,14,13,12,11,9,8,6,5,4,3,3,3,3,4,5,6,7,9,11,13,15,17,18,20,21,21,22,21,21,20,18,17,15,13,11,9,7,6,4,4,3,3,3,3,4,5,6,7,9,10,12,13,14,15,16,17,17,17,17,17,17,17,16,15,15,14,13,13,12,11,11,10,10,9,9,9,8,8,8,8,8,7,7,1022.tiff
11,11,11,12,12,12,12,13,13,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,17,17,17,17,17,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,15,15,15,15,15,15,14,14,14,13,13,12,12,11,11,10,9,8,7,6,5,4,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,0,0,0,1,1,2,3,5,6,8,1023.tiff
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,8,8,9,9,10,11,11,12,12,12,13,13,13,13,13,13,13,13,13,1024.tiff
3,6,8,10,12,13,14,14,14,14,13,12,10,9,8,7,7,7,7,8,9,10,12,14,16,18,20,22,23,24,24,24,24,23,21,19,17,15,13,10,8,6,4,3,2,1,0,0,0,0,1,1,2,2,3,3,4,4,4,4,4,4,4,3,3,3,3,2,2,3,3,3,4,5,6,7,8,9,11,12,13,14,14,15,15,15,14,13,11,10,8,5,3,0,-1,-4,-6,-8,-10,-12,1025.tiff
21,22,22,23,24,24,25,25,26,26,27,27,28,28,28,28,29,29,29,29,29,29,30,30,30,30,31,31,31,31,32,32,32,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,31,31,31,32,32,32,31,31,31,31,30,30,30,30,30,30,29,28,26,25,23,22,20,19,18,17,16,14,12,11,9,8,6,6,5,6,6,6,7,7,8,9,11,13,15,17,20,22,23,24,25,1026.tiff
21,21,21,22,22,22,22,22,22,22,23,24,24,25,25,26,26,25,24,23,21,19,17,15,13,11,9,8,7,6,7,7,8,9,10,11,11,12,12,13,13,13,13,13,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,12,11,10,9,8,7,6,6,5,6,6,7,8,9,11,12,14,15,16,17,17,17,17,17,16,16,15,13,12,11,10,9,8,7,6,1027.tiff
17,17,17,16,16,15,15,14,14,13,12,12,11,11,10,9,9,8,8,8,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,9,9,9,10,10,10,10,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,1028.tiff
15,15,15,15,15,15,15,15,15,15,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,17,17,16,16,15,14,13,13,12,11,10,9,8,7,7,6,6,6,5,6,6,6,7,7,8,8,9,10,10,11,11,12,12,13,13,13,14,14,14,1029.tiff
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,7,7,8,8,8,9,9,9,9,9,9,9,9,103.tiff
18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,16,16,16,15,15,15,14,14,14,14,13,13,13,13,13,12,12,12,12,12,12,12,11,11,11,11,11,10,10,10,10,10,9,9,9,9,8,8,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,4,4,4,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,1030.tiff
3,5,6,8,9,10,11,12,12,12,12,12,11,10,8,7,6,5,4,3,2,2,2,2,2,3,3,4,5,6,7,8,8,9,9,10,10,10,10,10,9,9,9,9,9,8,8,8,8,7,7,7,7,7,7,7,6,6,6,6,6,6,5,5,5,5,5,4,4,4,4,4,4,4,5,5,5,6,6,7,8,8,9,10,11,11,12,12,13,13,14,14,14,14,14,14,13,13,13,12,1031.tiff
12,12,12,12,12,11,11,11,10,10,9,8,7,7,6,5,4,4,4,3,3,4,4,5,6,7,8,10,11,12,14,15,16,16,16,16,16,15,14,13,11,9,7,6,4,3,2,2,1,2,2,3,5,6,8,10,11,13,14,16,16,17,17,18,18,17,17,17,17,16,16,16,15,15,15,15,15,15,15,14,14,14,14,13,13,13,13,13,13,14,14,14,15,15,16,16,17,17,17,18,1032.tiff
7,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,10,10,10,10,10,9,9,9,9,9,8,8,7,6,6,5,4,3,2,1,0,0,0,0,0,0,0,1033.tiff
22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,24,24,24,24,24,25,25,25,24,24,24,24,24,23,23,22,22,21,21,20,20,19,19,18,17,17,16,16,15,15,14,13,13,12,11,11,10,9,9,8,7,7,7,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,9,9,9,10,10,11,11,11,12,13,13,14,14,15,15,16,16,17,17,18,18,18,19,19,19,1034.tiff
9,9,9,8,8,8,8,8,7,7,7,7,6,6,6,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,4,4,4,4,5,5,5,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,8,8,7,7,7,7,7,7,6,6,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,1035.tiff
0,0,0,1,2,2,3,4,5,5,6,7,7,8,8,8,9,9,9,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,13,13,13,13,13,13,13,14,14,14,14,14,14,14,13,13,13,13,13,13,14,14,14,14,14,14,13,13,13,13,13,14,14,13,13,13,12,11,9,7,5,2,0,-2,-5,-7,-10,-11,1036.tiff
9,10,10,10,10,10,10,9,8,8,7,6,5,4,3,2,2,2,2,2,3,4,5,6,7,8,10,11,13,14,16,17,18,18,19,19,20,20,20,20,20,19,19,19,19,19,18,18,18,18,18,18,18,18,18,19,19,19,19,19,19,19,19,19,19,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,19,19,19,1037.tiff
23,20,17,13,10,8,6,4,3,3,2,2,2,2,2,2,2,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,2,2,2,3,3,3,4,4,4,3,3,3,4,5,7,9,12,15,19,23,26,28,30,31,30,30,28,26,24,23,21,20,19,18,18,17,17,17,17,16,1038.tiff
