39902,9366,23906,23544,36381,19327,40699,44183,41527,38588,67161,44088,45733,45009,20694,43878,31686,28708,40032,45397,30799,37835,41016,13709,24415,45379,40946,44395,7679,13985,13239,20679,13875,21117,5554,2547,3674,3023,5705,9130,4978,3611,10384,12575,3427,11490,12759,24504,17562,21104,13739,23882,18569,18414,24345,18028,9657,10214,21101,6795,7576,24378,18914,28756,18631,29004,15508,11646,15122,4744,3604,17680,6137,13803,21562,8620,10815,18907,8503,12281,10552,14163,7676,21576,4347,2297,3272,2669,4636,6651,3413,2306,4983,6422,1994,4666,8707,12066,12453,2120,2062,1398,3020,1442,606,1339,1752,2354,2641,3074,1509,3895,2111,3100,3042,2735,7523,2868,11344,11935,12732,6753,5883,9167,3496,2847,9754,4951,10632,11412,4505,4526,5946,3484,5013,5077,4123,3471,13273,13427,4144,3095,10387,2974,4911,3643,1873,1826,4540,6275,4746,4171,5103,5343,a-0
40134,9500,23564,23598,36622,20082,40705,45542,41727,38720,68280,45462,47008,46233,21252,45027,32653,29453,40298,46776,31356,39778,41064,14159,24130,46593,41165,45714,7937,13903,13570,20914,14365,21950,5703,2780,3720,3205,5800,9455,5280,3774,10455,12542,4020,11528,13388,24660,18204,22025,14121,24536,19447,19002,24545,18826,10132,10768,21149,7149,8077,24952,19336,29763,19109,30077,16123,12073,15603,4923,3698,18318,6466,14599,22535,8868,11028,19453,8736,12688,10949,13921,8095,22452,4551,2471,3245,2795,4784,6991,3689,2536,5403,6475,2395,5150,8988,12392,12901,2298,2129,1568,3106,1534,758,1458,1819,2358,2792,3507,1787,4249,2260,3199,3085,3187,7402,3312,11861,12286,13328,7087,6125,9430,3583,2886,10176,5105,11207,12033,4673,4778,6137,3517,5261,5247,4235,3755,13666,13906,4256,3112,10786,3069,5315,3748,1905,1922,4901,6500,4952,4337,5263,5670,a-1
66272,17798,44985,50055,63287,31307,67101,60998,67604,64641,83211,51280,62568,61311,30024,50507,38407,42984,66030,62272,43367,61897,67153,20653,45105,61814,67354,61191,15674,30509,29924,35896,21154,33816,12539,7550,8294,5835,11360,23881,13259,8064,19694,29714,8374,25476,23559,45339,28886,33618,22979,30596,22460,27929,44948,29365,13546,17378,36272,10298,14844,31076,28789,36462,27805,36408,21160,20785,20431,6429,7826,21557,10716,19610,33931,13393,20413,28274,16673,20122,17372,30895,14172,34119,10722,6640,7264,5181,9701,18198,10228,5930,11220,16950,5592,11149,14925,21482,19082,6803,5966,3594,7351,4793,2039,4270,3801,5478,5135,10048,4567,10100,5552,8089,6905,7060,18630,7467,21495,21009,19264,9161,10627,14683,4647,5718,12096,7909,14064,21417,6984,9102,9421,7784,8183,8452,10456,6988,18907,18563,5829,6903,14380,6925,8785,5211,5143,3717,7155,10695,11139,8270,10253,11488,a-10
60561,17303,42489,47827,57537,27754,61477,55399,61903,58882,74562,46218,56839,55623,26241,45594,34926,39809,60432,56689,39799,58065,61629,19570,42736,56084,61536,55616,15301,28570,27516,31171,18762,30312,12376,7275,7754,5341,11054,22172,11849,7579,18667,27139,7879,23864,20587,40687,25347,30158,19903,27376,20336,26149,40350,25811,12507,16638,31679,9548,13472,27659,24896,32724,24086,32695,19438,19667,18073,5875,7345,19944,10014,17961,30483,12575,19511,26446,16125,19003,16531,28940,13707,30613,10656,6471,6828,4804,9526,16849,8976,5529,10901,14515,5168,10075,13069,18307,16705,6471,5530,3410,7371,4548,1975,4172,3600,5215,4712,8829,4232,9423,5215,7613,6531,6624,17146,6993,18479,17985,16916,8366,10272,12846,4269,5396,11038,7420,12914,18419,6384,8544,8643,7277,7658,7788,9193,6493,16536,16270,5272,6412,13424,6489,8142,4915,4966,3531,6779,10240,10934,8106,9997,11148,a-11
30393,11636,21597,15824,23905,14130,30769,31343,31708,26048,39136,25059,32554,31329,14211,24417,17447,22309,30234,32235,22524,35247,30952,12881,20993,31561,31122,31329,9167,12758,9735,14536,9433,16587,7385,3118,3974,3186,7143,8035,5477,3893,11435,9416,3306,9142,9414,16022,11982,16485,9903,14652,11285,14463,16139,12328,8062,10580,15231,5643,7180,14972,12605,16145,12152,15914,10235,12511,9150,3860,3910,10350,5600,9176,16603,8086,11282,14347,9610,12040,10160,12685,7759,16692,5248,2568,3289,2755,5286,5354,3532,2599,5410,5625,2162,4496,5971,8154,7601,2569,2381,1780,4163,1850,899,1774,1823,2456,2591,3459,1637,4189,2212,3182,3069,2587,5936,2727,7625,8077,7657,5287,6169,5930,2612,2744,6224,3846,6783,7744,3487,4091,4957,2916,4321,4438,4121,3089,7669,7511,3298,3259,6714,3113,4549,2987,2087,1867,3653,5975,5396,4458,5533,5407,a-12
31854,11058,21656,19288,27626,15662,32377,30001,33165,29573,41297,24260,31194,30121,15361,23665,15584,19989,31715,30810,20068,29640,32700,12952,21444,30457,32370,29885,8881,13905,12271,16752,10334,17368,7318,3832,4507,3118,6792,10106,6663,4277,11255,11968,4394,11361,11327,19545,13801,17337,11425,15186,10108,13139,19617,14309,7935,10583,17743,6221,8299,15473,14124,16330,13646,16234,9439,11413,10092,3788,4202,9559,5941,8597,17555,7952,11076,13092,9243,10937,10396,13851,8269,17556,5465,3268,3767,2662,5132,7259,4624,2903,5884,7260,2792,5743,7134,9939,8686,3241,2889,1814,4130,2416,1044,2188,2030,2967,2688,4682,2195,5294,2724,4196,3616,3618,7892,3817,9725,9869,8897,5025,6035,7073,2649,3091,5903,4205,6314,9878,3938,5013,5134,3842,4598,5012,5164,3672,8815,8663,3356,3575,6364,3536,4448,2991,2476,1910,3816,5934,5601,4604,5397,6076,a-13
29780,9991,20398,18356,25355,13728,30182,26057,30718,26806,35258,19944,27142,26208,13628,19822,12667,16894,29654,26899,17408,27704,30323,11822,20495,26541,30269,26161,8241,13633,11761,14999,8928,15894,6840,3251,3723,2745,6258,9560,5874,4058,10750,11363,4046,10806,9950,18080,12055,15745,10008,12811,8522,11429,18100,12412,7017,9767,15636,5184,7497,12871,12618,13716,12106,13706,7731,9966,8746,3196,3815,7909,5340,7269,15952,7334,10618,11505,8708,9981,9585,13569,7847,16075,5315,2747,3123,2384,4891,6970,4098,2871,5796,6828,2603,5287,6086,8753,7441,2738,2388,1698,3970,1920,945,2016,1723,2546,2365,4143,2153,5046,2545,3765,3401,3258,7505,3463,8492,8629,7619,4408,5605,5945,2284,2820,5120,3884,5476,8467,3460,4600,4600,3597,4294,4141,4779,3316,7668,7456,2815,3231,5277,3256,3947,2538,2307,1781,3473,5531,5440,4459,5259,5937,a-14
31912,11804,20814,15064,24956,15304,32843,42678,34044,26052,45880,36061,43741,43017,14553,36348,33635,34672,31869,43303,35107,39150,32885,13320,19994,43214,32923,42765,9402,12511,8851,14507,10487,17580,6657,2126,3660,3805,7977,8010,5936,3886,10609,9067,2039,7925,9310,16358,13055,17448,9089,16954,18486,22961,16437,13263,8892,10815,14608,4020,5937,16707,12724,24414,12327,24355,18196,15684,9718,3817,3517,17143,6362,16859,17546,8985,10553,22982,9913,14783,10683,12634,6908,17741,4718,1801,2968,3180,6074,5612,3972,2540,4801,4966,1184,3181,5749,7476,8538,1826,2447,1997,3974,1324,498,1081,2006,2189,3052,3530,1234,3383,2601,3224,2848,1695,5462,1578,7358,7229,8401,6338,6851,5468,2051,2366,7808,4157,11922,7431,2658,3579,5497,3315,4936,2998,3432,2331,7994,7966,3226,2886,11978,3996,7125,3025,1930,1592,4565,6897,5100,4130,6147,4798,a-15
36554,14058,25029,16733,27700,17579,37583,48272,38881,28723,49749,39630,49809,48982,16927,39601,37122,40466,36573,49021,41268,48812,37558,16088,24013,49093,37786,48446,11494,15122,10004,16588,12209,20506,8236,2923,4483,4526,9614,9435,7304,5030,13451,10180,2572,9244,10902,18335,14838,20371,10546,18943,20316,26621,18192,15003,10456,13422,16538,4946,7215,19067,14768,26732,14329,26651,20738,19135,11442,4915,4483,18851,7131,18651,20487,11137,13303,26576,12153,18306,13046,15251,8626,20677,6205,2499,3729,3881,7584,6416,4932,3375,6248,5773,1566,3949,6967,8801,9835,2525,3176,2634,4972,1879,804,1628,2440,2710,3596,4401,1695,4551,3384,4123,3705,2180,6244,2016,8559,8477,9636,7484,8628,6495,2576,3056,8735,4789,13069,8571,3349,4532,6472,4175,6033,3857,4276,2915,9350,9360,4202,3735,13217,4624,8580,3960,2551,2168,5079,8634,6653,5446,7682,6157,a-16
32872,12845,22362,14098,24528,15396,33046,45007,34311,25762,46085,36971,45888,45230,15367,37556,35339,37339,32847,45741,37811,45007,33128,14029,21474,45393,33989,45162,10395,13093,8592,14856,10899,18332,7538,2674,4120,4011,8502,7991,6333,4117,11730,8364,2134,7519,9509,16013,13027,18245,9755,17413,19218,24536,15978,13244,8787,11403,14526,4105,6276,16964,13340,25211,12938,25156,19044,16930,10243,4153,4132,17907,6640,17439,18392,9801,12250,24648,11027,15987,11294,13270,7530,18556,5594,2307,3384,3397,6645,5474,4217,2777,5316,4863,1345,3444,6188,8024,8839,2298,2856,2286,4440,1669,687,1448,2220,2451,3124,3752,1403,3823,2844,3577,3007,1802,5031,1682,7498,7762,8657,6455,7426,5965,2220,2827,7911,4398,12373,7599,2802,4015,5511,3593,4947,3182,3709,2444,8320,8345,3564,3446,12560,4231,7341,3343,2312,1855,4647,7553,6023,4844,6779,5358,a-17
36678,13704,29064,24571,30697,14810,36788,34526,37667,32026,41799,25140,35384,34452,14893,25746,20191,28183,36737,35683,28741,44154,36948,14501,28852,34625,37727,34606,11233,17318,12769,15660,9059,17356,8699,3641,4441,3258,8419,11781,6882,4534,13641,13101,3784,12383,9825,19499,12074,17341,10027,13939,10735,17378,19545,12417,7669,11538,16003,5140,7613,13771,12485,15956,12118,15990,11425,14863,8985,3729,4846,10741,6663,10826,17542,9251,14205,17486,11880,14552,11410,17509,9048,17557,6732,3014,3608,2666,6554,7435,4267,2817,6382,6219,2110,4660,5514,7908,7023,2840,2575,1808,4881,1971,866,2097,1891,2857,2688,4372,2036,5173,2729,3938,3494,2916,7818,3037,7735,7868,7121,4632,6957,5575,2173,3231,5298,4272,6854,7766,3247,4409,4565,3481,4294,3872,4346,2992,6959,6946,3075,3761,7134,3849,5294,2856,2715,1991,4007,6985,6923,5327,6830,6551,a-18
40538,16048,33872,26955,33189,17087,41162,39850,42168,35332,46364,29312,40971,39635,16744,30209,24391,33191,40683,41505,34347,52664,41389,17380,33110,40068,41947,40229,12932,19554,13819,16800,10480,19507,10064,4240,5356,3961,9778,13059,8294,5645,16223,14582,4550,13835,11229,20884,13682,19343,11168,16194,13070,20470,20927,13977,9236,13729,17786,6336,9022,15892,13901,18498,13372,18434,13796,17323,10370,4647,5551,12901,7620,12878,19664,10879,16483,20629,13783,17211,13458,19781,10598,19831,7581,3500,4315,3157,7436,8116,4896,3302,7366,6819,2576,5376,6439,8626,7989,3277,3095,2196,5601,2394,1093,2376,2332,3352,3192,5122,2401,5894,3464,4726,4263,3620,8809,3603,8619,8504,7990,5517,8040,6486,2774,3755,6354,4917,8241,8565,3828,5189,5382,3891,5018,4761,4997,3661,7954,7889,3745,4252,8520,4270,6185,3572,3098,2409,4653,8050,7864,6106,7810,7560,a-19
