0,3,1,2,7,1,1,1,5,0,0,2,0,1,2,1,0,8,2,2,4,2,0,0,0,3,4,2,2,0,1,1,4,1,5,7,2,3,1,4,0,2,0,2,5,2,1,0,1,4,3,0,0,2,1,1,4,1,Kannada_4_011-4
0,0,0,0,0,0,0,3,2,1,2,0,1,0,1,1,0,1,0,0,2,0,2,1,0,1,2,2,1,1,1,0,1,1,0,7,2,0,1,0,3,1,1,0,1,0,0,0,1,2,0,0,2,0,0,0,2,0,Kannada_4_050-22
0,2,4,2,5,2,1,0,1,1,0,0,7,0,2,1,0,5,1,4,12,1,2,1,0,2,6,7,1,2,1,0,6,1,1,1,3,1,2,2,1,1,3,0,0,6,0,0,2,2,1,0,0,0,0,3,0,1,Kannada_2_018-5
0,2,0,0,5,1,2,3,5,0,0,1,2,1,3,0,1,2,1,0,2,1,1,1,1,2,1,4,1,1,1,1,2,0,0,9,0,0,3,2,1,1,0,1,0,1,1,0,3,2,1,1,0,0,0,0,2,1,Kannada_4_050-20
1,0,1,0,0,0,2,4,5,0,3,1,1,3,1,0,1,6,0,1,2,1,0,1,1,2,3,2,0,0,4,3,0,1,2,6,0,0,1,2,1,1,3,2,0,1,1,0,3,0,0,0,2,1,0,2,0,1,Kannada_4_050-21
0,1,3,6,3,1,2,0,0,0,0,1,8,2,1,1,0,4,1,2,4,0,2,1,0,2,4,5,1,1,3,0,3,2,0,1,3,1,0,1,0,1,1,0,2,5,1,2,1,0,0,2,1,3,0,1,0,0,Kannada_2_018-4
1,0,0,3,4,0,1,1,1,2,2,2,4,1,1,1,1,2,0,4,4,0,1,4,2,1,2,8,0,0,2,4,3,1,2,3,2,1,1,3,2,1,1,0,1,6,1,1,1,1,2,0,0,0,0,0,0,0,Kannada_2_018-7
0,0,0,0,3,2,3,6,0,0,4,1,2,1,3,0,1,1,1,2,3,0,0,1,1,0,2,2,0,5,2,1,0,2,0,7,3,2,1,3,1,0,1,1,2,0,0,2,3,1,1,2,0,0,0,0,3,0,Kannada_3_050-21
2,1,2,0,2,0,0,5,1,0,6,3,2,2,1,1,0,3,1,0,1,1,1,1,1,0,2,4,0,2,2,2,1,0,1,8,1,3,3,5,0,2,2,1,2,0,1,3,3,3,0,1,0,1,4,1,0,0,Kannada_3_050-20
1,1,1,0,4,2,2,4,3,1,1,3,1,2,4,2,0,2,0,0,2,1,2,0,2,1,2,1,0,2,1,2,0,0,0,2,4,1,1,1,1,3,0,1,3,1,1,0,2,4,0,2,0,0,3,1,1,3,Kannada_3_033-11
0,1,0,4,4,3,0,3,1,0,1,4,4,3,1,1,3,2,0,3,2,1,3,2,1,1,1,0,2,1,2,0,0,2,1,1,0,2,0,0,2,1,1,0,2,2,0,1,0,0,3,1,3,0,0,0,0,0,Kannada_3_020-15
0,1,0,0,3,0,0,4,1,0,0,4,0,0,5,2,1,0,0,1,2,1,2,0,0,2,3,1,0,0,2,0,0,0,1,7,5,0,1,1,0,0,1,0,0,0,0,3,1,1,1,1,0,2,1,0,1,2,Kannada_3_033-13
0,0,5,1,2,2,0,0,0,4,1,0,8,1,1,1,0,2,2,4,6,2,2,0,1,1,2,9,0,2,3,0,3,2,0,0,2,2,0,5,1,1,2,2,2,4,1,2,1,1,0,1,0,0,1,4,0,1,Kannada_2_018-6
2,0,1,1,2,1,5,4,4,0,4,1,4,2,0,0,1,1,0,2,2,0,0,2,0,1,1,1,0,4,1,2,2,1,0,5,1,1,3,1,0,1,0,0,0,0,1,1,1,0,0,1,2,1,1,1,1,0,Kannada_3_033-15
1,0,1,1,2,2,1,5,3,0,4,5,1,1,1,1,0,3,0,2,2,0,1,2,1,2,1,2,1,0,1,2,0,0,1,2,4,1,3,2,0,1,1,0,3,0,0,5,3,1,0,0,2,0,2,0,3,0,Kannada_3_033-14
0,0,0,0,5,0,2,5,1,1,2,2,2,2,1,2,0,2,0,4,3,0,1,1,0,0,2,1,0,0,2,0,0,2,1,4,3,1,1,2,2,2,0,2,0,0,0,5,2,2,0,2,1,0,1,2,2,0,Kannada_3_033-17
3,4,1,0,2,0,0,0,0,2,4,0,2,2,1,2,2,6,0,3,0,3,3,0,0,2,4,3,2,0,5,0,1,3,0,5,0,2,0,5,1,2,5,2,0,2,0,0,2,0,2,1,1,0,0,3,1,0,Kannada_3_020-14
2,0,2,2,3,1,1,3,4,1,2,4,6,1,0,1,1,2,0,5,4,0,2,0,0,2,3,0,1,1,2,0,2,1,1,3,3,2,1,4,2,5,2,0,0,1,0,1,1,2,0,2,3,0,1,0,2,1,Kannada_3_033-19
